id	isolate	country	continent	group	region	state	species	year	source	detailed_source	location	comments	date_entered	datestamp	clpA	clpX	nifS	pepX	pyrG	recG	rplB	uvrA	ST (MLST)
865	AB07-3	Canada	North America	bc_ab	Edmonton	AB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	8	1	1	14	2	16	1	10	300
3652	S02	Canada	North America	bc_ab	Fraser Valley	BC	Borrelia burgdorferi sensu stricto	1993	tick	Ixodes pacificus			2024-01-09	2024-03-05	2	2	1	2	2	2	2	2	16
3653	S03	Canada	North America	bc_ab	Fraser Valley	BC	Borrelia burgdorferi sensu stricto	1993	tick	Ixodes pacificus			2024-01-09	2024-03-05	2	2	1	2	2	2	2	2	16
3654	S04	Canada	North America	bc_ab	Squamish	BC	Borrelia burgdorferi sensu stricto	1993	tick	Ixodes angustus			2024-01-09	2024-03-05	4	4	3	3	3	21	6	3	43
3655	S05	Canada	North America	bc_ab	Sunshine Coast	BC	Borrelia burgdorferi sensu stricto	1993	tick	Ixodes pacificus			2024-01-09	2024-03-05	6	1	114	140	1	7	4	11	408
3656	S06	Canada	North America	bc_ab	Sunshine Coast	BC	Borrelia burgdorferi sensu stricto	1993	tick	Ixodes pacificus			2024-01-09	2024-03-05	8	1	15	120	1	18	1	7	333
3657	S08	Canada	North America	bc_ab	Howe Sound	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes angustus			2024-01-09	2024-03-05	1	1	1	1	1	1	279	1	1121
3658	S09	Canada	North America	bc_ab	Sunshine Coast	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes angustus			2024-01-09	2024-03-05	1	291	1	1	1	1	279	1	1122
3659	S10	Canada	North America	bc_ab	Burnaby	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes pacificus			2024-01-09	2024-03-05	1	1	1	1	1	1	279	1	1121
3660	S11	Canada	North America	bc_ab	Squamish	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes pacificus			2024-01-09	2024-03-05	18	12	1	11	2	15	1	2	29
3661	S12	Canada	North America	bc_ab	Langley	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes pacificus			2024-01-09	2024-03-05	6	1	114	140	1	7	4	11	408
3662	S13	Canada	North America	bc_ab	Vancouver Island	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes pacificus			2024-01-09	2024-03-05	1	1	1	1	1	1	279	1	1121
3663	S14	Canada	North America	bc_ab	Mid-Island	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes pacificus			2024-01-09	2024-03-05	1	1	1	1	1	1	279	1	1121
3665	S16	Canada	North America	bc_ab	Gulf Island	BC	Borrelia burgdorferi sensu stricto	1995	tick	Ixodes pacificus			2024-01-09	2024-03-05	1	1	1	1	1	1	279	1	1121
3666	S17	Canada	North America	bc_ab	Vancouver Island	BC	Borrelia burgdorferi sensu stricto	1995	tick	Ixodes pacificus			2024-01-09	2024-03-05	1	1	1	1	1	1	279	1	1121
3667	S18	Canada	North America	bc_ab	Vancouver Island	BC	Borrelia burgdorferi sensu stricto	1995	tick	Ixodes pacificus			2024-01-09	2024-03-05	1	1	1	1	1	1	279	1	1121
3668	S19	Canada	North America	bc_ab	Coast Mountain	BC	Borrelia burgdorferi sensu stricto	1996	tick	Ixodes angustus			2024-01-09	2024-03-05	1	291	1	1	1	1	279	1	1122
3670	S21	Canada	North America	bc_ab	Fraser Valley	BC	Borrelia burgdorferi sensu stricto	1997	tick	Ixodes pacificus			2024-01-09	2024-03-05	128	3	2	4	3	4	4	4	317
3671	S22	Canada	North America	bc_ab	Coquitlam	BC	Borrelia burgdorferi sensu stricto	1997	tick	Ixodes pacificus			2024-01-09	2024-03-06	5	5	260	8	1	5	6	127	1131
3672	S23	Canada	North America	bc_ab	Coquitlam	BC	Borrelia burgdorferi sensu stricto	1997	animal host	Apodemus sylvaticus Tissue Culture			2024-01-09	2024-03-05	5	5	260	8	1	5	6	127	1131
3673	S24	Canada	North America	bc_ab	Port Moody	BC	Borrelia burgdorferi sensu stricto	1997	animal host	Apodemus sylvaticus Tissue Culture			2024-01-09	2024-03-05	128	3	2	4	3	4	4	4	317
3674	S25	Canada	North America	bc_ab	Gulf Island	BC	Borrelia burgdorferi sensu stricto	1997	tick	Ixodes pacificus			2024-01-09	2024-03-06	5	5	260	8	1	5	6	127	1131
3675	S27	Canada	North America	bc_ab	Howe Sound	BC	Borrelia burgdorferi sensu stricto	1998	tick	Ixodes pacificus			2024-01-09	2024-03-06	5	5	260	8	1	5	6	127	1131
3676	S29	Canada	North America	bc_ab	Sunshine Coast	BC	Borrelia burgdorferi sensu stricto	1999	tick	Ixodes pacificus			2024-01-09	2024-03-05	8	1	15	120	1	18	1	7	333
3677	S30	Canada	North America	bc_ab	Surrey	BC	Borrelia burgdorferi sensu stricto	2000	tick	Ixodes pacificus			2024-01-09	2024-03-05	5	5	4	5	301	5	280	6	1135
3678	S31	Canada	North America	bc_ab	Gulf Island	BC	Borrelia burgdorferi sensu stricto	2000	tick	Ixodes pacificus			2024-01-09	2024-03-05	3	3	2	4	3	4	4	4	12
3679	S32	Canada	North America	bc_ab	West Vancouver	BC	Borrelia burgdorferi sensu stricto	2000	tick	Ixodes pacificus			2024-01-09	2024-03-05	5	5	4	5	301	5	280	6	1135
3680	S33	Canada	North America	bc_ab	North Vancouver	BC	Borrelia burgdorferi sensu stricto	2002	tick	Ixodes pacificus			2024-01-09	2024-03-05	8	1	15	94	2	20	96	7	268
3681	S35	Canada	North America	bc_ab	North Vancouver	BC	Borrelia burgdorferi sensu stricto	2004	tick	Ixodes pacificus			2024-01-09	2024-03-05	1	1	7	1	1	1	1	11	2
3682	S41	Canada	North America	bc_ab	Vancouver Island	BC	Borrelia burgdorferi sensu stricto	2005	tick	Ixodes auritulus			2024-01-09	2024-03-05	3	3	2	4	3	4	4	4	12
3684	S43	Canada	North America	bc_ab	Bulkley Valley	BC	Borrelia burgdorferi sensu stricto	2008	tick	Ixodes angustus			2024-01-09	2024-03-05	3	3	2	4	3	4	4	4	12
3685	S44	Canada	North America	bc_ab	North Vancouver	BC	Borrelia burgdorferi sensu stricto	2008	tick	Ixodes angustus			2024-01-09	2024-03-05	3	3	2	4	3	4	4	4	12
3686	S48	Canada	North America	bc_ab	Vancouver	BC	Borrelia burgdorferi sensu stricto	2010	tick	Ixodes pacificus			2024-01-09	2024-03-05	18	12	1	11	2	15	1	2	29
1889	MB11-111	Canada	North America	manitoba	"Thompson Trail, Miami"	Manitoba	Borrelia burgdorferi sensu stricto	2011	tick	Ixodes scapularis	"49.37, -98.24"		2017-02-16	2017-02-16	12	1	1	7	112	21	1	10	638
1890	MB11-117	Canada	North America	manitoba	"Thompson Trail, Miami"	Manitoba	Borrelia burgdorferi sensu stricto	2011	tick	Ixodes scapularis	"49.37, -98.24"		2017-02-16	2017-02-16	8	1	1	1	4	1	1	7	639
1891	MB11-126	Canada	North America	manitoba	"Thompson Trail, Miami"	Manitoba	Borrelia burgdorferi sensu stricto	2011	tick	Ixodes scapularis	"49.37, -98.24"		2017-02-16	2017-02-16	12	1	1	7	112	1	1	10	640
1892	MB11-71	Canada	North America	manitoba	Beaudry Prov. Park	Manitoba	Borrelia burgdorferi sensu stricto	2011	tick	Ixodes scapularis	"49.85, -97.47"		2017-02-16	2017-02-16	155	5	4	1	5	197	1	12	641
866	MB07-20	Canada	North America	manitoba	Winnipeg	MB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	12	1	1	7	112	6	1	10	301
867	MB07-21	Canada	North America	manitoba	Winnipeg	MB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	3	3	2	4	3	4	4	4	12
868	MB07-22	Canada	North America	manitoba	Winnipeg	MB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	5	5	4	114	1	15	1	6	302
869	MB07-25	Canada	North America	manitoba	Stonewall	MB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	18	12	1	11	2	15	1	2	29
870	UMB06-10	Canada	North America	manitoba	Oak Bluff	MB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	3	3	2	4	3	4	4	4	12
871	UMB07-5	Canada	North America	manitoba	Winnipeg	MB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	3	3	2	2	3	4	4	4	221
1531	BP-46	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"49.0005999, -95.2332999"		2015-01-29	2015-01-29	12	1	1	13	1	15	1	10	525
1532	BP-43	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"49.0005999, -95.2332999"		2015-01-29	2015-01-29	3	3	16	2	3	4	4	10	526
1533	BP-40	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"49.0005999, -95.2332999"		2015-01-29	2015-01-29	3	3	2	2	5	4	4	4	527
1534	BP-11	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"49.0005999, -95.2332999"		2015-01-29	2015-01-29	18	2	1	2	1	16	4	2	528
1535	BP-35	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"49.0005999, -95.2332999"		2015-01-29	2015-01-29	3	1	16	4	1	4	4	4	529
1536	BP-32	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"49.0005999, -95.2332999"		2015-01-29	2015-01-29	14	1	5	2	2	1	1	10	530
1537	BP-31	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"49.0005999, -95.2332999"		2015-01-29	2015-01-29	4	4	16	14	2	4	6	10	531
1538	BP-27	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"49.0005999, -95.2332999"		2015-01-29	2015-01-29	128	1	1	8	1	6	1	10	532
