id	isolate	country	continent	group	group_2	region	state	species	year	source	detailed_source	location	comments	date_entered	datestamp	clpA	clpX	nifS	pepX	pyrG	recG	rplB	uvrA	ST (MLST)
865	AB07-3	Canada	North America	bc_ab	NA_west	Edmonton	AB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			1/29/2015	1/29/2015	8	1	1	14	2	16	1	10	300
3652	S02	Canada	North America	bc_ab	NA_west	Fraser Valley	BC	Borrelia burgdorferi sensu stricto	1993	tick	Ixodes pacificus			1/9/2024	3/5/2024	2	2	1	2	2	2	2	2	16
3653	S03	Canada	North America	bc_ab	NA_west	Fraser Valley	BC	Borrelia burgdorferi sensu stricto	1993	tick	Ixodes pacificus			1/9/2024	3/5/2024	2	2	1	2	2	2	2	2	16
3654	S04	Canada	North America	bc_ab	NA_west	Squamish	BC	Borrelia burgdorferi sensu stricto	1993	tick	Ixodes angustus			1/9/2024	3/5/2024	4	4	3	3	3	21	6	3	43
3655	S05	Canada	North America	bc_ab	NA_west	Sunshine Coast	BC	Borrelia burgdorferi sensu stricto	1993	tick	Ixodes pacificus			1/9/2024	3/5/2024	6	1	114	140	1	7	4	11	408
3656	S06	Canada	North America	bc_ab	NA_west	Sunshine Coast	BC	Borrelia burgdorferi sensu stricto	1993	tick	Ixodes pacificus			1/9/2024	3/5/2024	8	1	15	120	1	18	1	7	333
3657	S08	Canada	North America	bc_ab	NA_west	Howe Sound	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes angustus			1/9/2024	3/5/2024	1	1	1	1	1	1	279	1	1121
3658	S09	Canada	North America	bc_ab	NA_west	Sunshine Coast	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes angustus			1/9/2024	3/5/2024	1	291	1	1	1	1	279	1	1122
3659	S10	Canada	North America	bc_ab	NA_west	Burnaby	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes pacificus			1/9/2024	3/5/2024	1	1	1	1	1	1	279	1	1121
3660	S11	Canada	North America	bc_ab	NA_west	Squamish	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes pacificus			1/9/2024	3/5/2024	18	12	1	11	2	15	1	2	29
3661	S12	Canada	North America	bc_ab	NA_west	Langley	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes pacificus			1/9/2024	3/5/2024	6	1	114	140	1	7	4	11	408
3662	S13	Canada	North America	bc_ab	NA_west	Vancouver Island	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes pacificus			1/9/2024	3/5/2024	1	1	1	1	1	1	279	1	1121
3663	S14	Canada	North America	bc_ab	NA_west	Mid-Island	BC	Borrelia burgdorferi sensu stricto	1994	tick	Ixodes pacificus			1/9/2024	3/5/2024	1	1	1	1	1	1	279	1	1121
3665	S16	Canada	North America	bc_ab	NA_west	Gulf Island	BC	Borrelia burgdorferi sensu stricto	1995	tick	Ixodes pacificus			1/9/2024	3/5/2024	1	1	1	1	1	1	279	1	1121
3666	S17	Canada	North America	bc_ab	NA_west	Vancouver Island	BC	Borrelia burgdorferi sensu stricto	1995	tick	Ixodes pacificus			1/9/2024	3/5/2024	1	1	1	1	1	1	279	1	1121
3667	S18	Canada	North America	bc_ab	NA_west	Vancouver Island	BC	Borrelia burgdorferi sensu stricto	1995	tick	Ixodes pacificus			1/9/2024	3/5/2024	1	1	1	1	1	1	279	1	1121
3668	S19	Canada	North America	bc_ab	NA_west	Coast Mountain	BC	Borrelia burgdorferi sensu stricto	1996	tick	Ixodes angustus			1/9/2024	3/5/2024	1	291	1	1	1	1	279	1	1122
3670	S21	Canada	North America	bc_ab	NA_west	Fraser Valley	BC	Borrelia burgdorferi sensu stricto	1997	tick	Ixodes pacificus			1/9/2024	3/5/2024	128	3	2	4	3	4	4	4	317
3671	S22	Canada	North America	bc_ab	NA_west	Coquitlam	BC	Borrelia burgdorferi sensu stricto	1997	tick	Ixodes pacificus			1/9/2024	3/6/2024	5	5	260	8	1	5	6	127	1131
3672	S23	Canada	North America	bc_ab	NA_west	Coquitlam	BC	Borrelia burgdorferi sensu stricto	1997	animal host	Apodemus sylvaticus Tissue Culture			1/9/2024	3/5/2024	5	5	260	8	1	5	6	127	1131
3673	S24	Canada	North America	bc_ab	NA_west	Port Moody	BC	Borrelia burgdorferi sensu stricto	1997	animal host	Apodemus sylvaticus Tissue Culture			1/9/2024	3/5/2024	128	3	2	4	3	4	4	4	317
3674	S25	Canada	North America	bc_ab	NA_west	Gulf Island	BC	Borrelia burgdorferi sensu stricto	1997	tick	Ixodes pacificus			1/9/2024	3/6/2024	5	5	260	8	1	5	6	127	1131
3675	S27	Canada	North America	bc_ab	NA_west	Howe Sound	BC	Borrelia burgdorferi sensu stricto	1998	tick	Ixodes pacificus			1/9/2024	3/6/2024	5	5	260	8	1	5	6	127	1131
3676	S29	Canada	North America	bc_ab	NA_west	Sunshine Coast	BC	Borrelia burgdorferi sensu stricto	1999	tick	Ixodes pacificus			1/9/2024	3/5/2024	8	1	15	120	1	18	1	7	333
3677	S30	Canada	North America	bc_ab	NA_west	Surrey	BC	Borrelia burgdorferi sensu stricto	2000	tick	Ixodes pacificus			1/9/2024	3/5/2024	5	5	4	5	301	5	280	6	1135
3678	S31	Canada	North America	bc_ab	NA_west	Gulf Island	BC	Borrelia burgdorferi sensu stricto	2000	tick	Ixodes pacificus			1/9/2024	3/5/2024	3	3	2	4	3	4	4	4	12
3679	S32	Canada	North America	bc_ab	NA_west	West Vancouver	BC	Borrelia burgdorferi sensu stricto	2000	tick	Ixodes pacificus			1/9/2024	3/5/2024	5	5	4	5	301	5	280	6	1135
3680	S33	Canada	North America	bc_ab	NA_west	North Vancouver	BC	Borrelia burgdorferi sensu stricto	2002	tick	Ixodes pacificus			1/9/2024	3/5/2024	8	1	15	94	2	20	96	7	268
3681	S35	Canada	North America	bc_ab	NA_west	North Vancouver	BC	Borrelia burgdorferi sensu stricto	2004	tick	Ixodes pacificus			1/9/2024	3/5/2024	1	1	7	1	1	1	1	11	2
3682	S41	Canada	North America	bc_ab	NA_west	Vancouver Island	BC	Borrelia burgdorferi sensu stricto	2005	tick	Ixodes auritulus			1/9/2024	3/5/2024	3	3	2	4	3	4	4	4	12
3684	S43	Canada	North America	bc_ab	NA_west	Bulkley Valley	BC	Borrelia burgdorferi sensu stricto	2008	tick	Ixodes angustus			1/9/2024	3/5/2024	3	3	2	4	3	4	4	4	12
3685	S44	Canada	North America	bc_ab	NA_west	North Vancouver	BC	Borrelia burgdorferi sensu stricto	2008	tick	Ixodes angustus			1/9/2024	3/5/2024	3	3	2	4	3	4	4	4	12
3686	S48	Canada	North America	bc_ab	NA_west	Vancouver	BC	Borrelia burgdorferi sensu stricto	2010	tick	Ixodes pacificus			1/9/2024	3/5/2024	18	12	1	11	2	15	1	2	29
